x_cm,y_cm
0.00,0.00
20.00,3.74
40.00,7.48
60.00,11.22
80.00,14.96
100.00,18.70
120.00,22.44
140.00,26.18
160.00,29.92
180.00,33.66
200.00,37.73
220.00,44.20
240.00,50.67
260.00,57.14
280.00,63.61
300.00,70.08
320.00,76.56
340.00,83.03
360.00,89.50
380.00,95.97
400.00,102.44
420.00,108.91
440.00,114.64
460.00,118.91
480.00,123.18
500.00,127.45
520.00,131.73
540.00,136.00
