u_cm_desde_borde_superior,d_cm_bajo_plano_superior,bajada_cm_desde_muro
0.00,0.00,136.00
20.00,4.27,140.27
40.00,8.55,144.55
60.00,12.82,148.82
80.00,17.09,153.09
100.00,21.36,157.36
120.00,27.09,163.09
140.00,33.56,169.56
160.00,40.03,176.03
180.00,46.50,182.50
200.00,52.97,188.97
220.00,59.44,195.44
240.00,65.92,201.92
260.00,72.39,208.39
280.00,78.86,214.86
300.00,85.33,221.33
320.00,91.80,227.80
340.00,98.27,234.27
360.00,102.34,238.34
380.00,106.08,242.08
400.00,109.82,245.82
420.00,113.56,249.56
440.00,117.30,253.30
460.00,121.04,257.04
480.00,124.78,260.78
500.00,128.52,264.52
520.00,132.26,268.26
540.00,136.00,272.00
