s_cm_along_cuerda_desde_T,p_cm_perpendicular_a_cuerda
0.00,0.00
20.62,0.60
41.25,1.19
61.87,1.79
82.50,2.38
103.12,2.98
123.75,3.58
144.37,4.17
165.00,2.64
185.62,0.84
206.25,-0.97
226.87,-2.78
247.49,-4.58
268.12,-6.39
288.74,-8.20
309.37,-8.93
329.99,-9.11
350.62,-9.29
371.24,-9.48
391.87,-9.66
412.49,-9.84
433.12,-9.14
453.74,-7.62
474.36,-6.09
494.99,-4.57
515.61,-3.05
536.24,-1.52
556.86,0.00
