x_cm,y_cm
0.00,0.00
20.00,3.49
40.00,6.99
60.00,10.48
80.00,13.98
100.00,17.47
120.00,20.97
140.00,25.09
160.00,30.31
180.00,35.54
200.00,40.76
220.00,45.99
240.00,51.21
260.00,56.84
280.00,63.78
300.00,70.72
320.00,77.66
340.00,84.61
360.00,91.55
380.00,98.49
400.00,105.01
420.00,109.44
440.00,113.87
460.00,118.29
480.00,122.72
500.00,127.15
520.00,131.57
540.00,136.00
