x_cm,y_cm
0.00,0.00
20.00,3.27
40.00,9.59
60.00,15.90
80.00,22.22
100.00,28.54
120.00,34.86
140.00,41.18
160.00,47.49
180.00,53.81
200.00,60.13
220.00,66.45
240.00,72.77
260.00,79.08
280.00,85.40
300.00,91.72
320.00,98.04
340.00,104.36
360.00,110.48
380.00,115.92
400.00,120.68
420.00,124.78
440.00,128.23
460.00,131.04
480.00,133.21
500.00,134.76
520.00,135.69
540.00,136.00
